measure_ID,measure_name,location_id,location_name,FIPS,cause_id,cause_name,sex_id,sex,age_id,age_name,year_id,metric,mx,lower,upper
1,Deaths,525,Arizona,4,560,Alcohol use disorders,1,Male,27,Age-standardized,1980,Rate,8.419208077,7.498292827,9.512819683
1,Deaths,525,Arizona,4,560,Alcohol use disorders,1,Male,27,Age-standardized,1981,Rate,8.640172474,7.826426835,9.668445103
1,Deaths,525,Arizona,4,560,Alcohol use disorders,1,Male,27,Age-standardized,1982,Rate,9.475241976,8.640556673,10.72120058
1,Deaths,525,Arizona,4,560,Alcohol use disorders,1,Male,27,Age-standardized,1983,Rate,8.654839418,7.856404798,9.832570269
1,Deaths,525,Arizona,4,560,Alcohol use disorders,1,Male,27,Age-standardized,1984,Rate,8.181019236,7.524898494,9.269055537
1,Deaths,525,Arizona,4,560,Alcohol use disorders,1,Male,27,Age-standardized,1985,Rate,7.604007213,6.985040628,8.499061292
1,Deaths,525,Arizona,4,560,Alcohol use disorders,1,Male,27,Age-standardized,1986,Rate,8.166360972,7.530749368,9.246322305
1,Deaths,525,Arizona,4,560,Alcohol use disorders,1,Male,27,Age-standardized,1987,Rate,8.258768354,7.669536987,9.164068433
1,Deaths,525,Arizona,4,560,Alcohol use disorders,1,Male,27,Age-standardized,1988,Rate,7.451059777,6.904132955,8.173305375
1,Deaths,525,Arizona,4,560,Alcohol use disorders,1,Male,27,Age-standardized,1989,Rate,7.46375727,6.928745806,8.18131949
1,Deaths,525,Arizona,4,560,Alcohol use disorders,1,Male,27,Age-standardized,1990,Rate,7.904744491,7.354382011,8.526273457
1,Deaths,525,Arizona,4,560,Alcohol use disorders,1,Male,27,Age-standardized,1991,Rate,8.04258095,7.528061896,8.62289462
1,Deaths,525,Arizona,4,560,Alcohol use disorders,1,Male,27,Age-standardized,1992,Rate,8.242288527,7.653744615,8.897866978
1,Deaths,525,Arizona,4,560,Alcohol use disorders,1,Male,27,Age-standardized,1993,Rate,7.46918699,6.9683333,8.06373553
1,Deaths,525,Arizona,4,560,Alcohol use disorders,1,Male,27,Age-standardized,1994,Rate,7.527808041,6.972566185,8.137447994
1,Deaths,525,Arizona,4,560,Alcohol use disorders,1,Male,27,Age-standardized,1995,Rate,7.823827841,7.228456689,8.479955211
1,Deaths,525,Arizona,4,560,Alcohol use disorders,1,Male,27,Age-standardized,1996,Rate,7.666410744,7.030702649,8.285023693
1,Deaths,525,Arizona,4,560,Alcohol use disorders,1,Male,27,Age-standardized,1997,Rate,7.004304948,6.485158389,7.613364011
1,Deaths,525,Arizona,4,560,Alcohol use disorders,1,Male,27,Age-standardized,1998,Rate,6.88334608,6.303291708,7.558091336
