"measure_id","measure_name","location_id","location_name","FIPS","cause_id","cause_name","sex_id","sex","age_id","age_name","year_id","metric","mx","lower","upper"
1,"Deaths",543,"Maryland",24,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1980,"Rate",6.28056549914537,5.60367442450362,7.02491774759911
1,"Deaths",543,"Maryland",24,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1981,"Rate",6.21632298225933,5.60038941388855,6.95382400454087
1,"Deaths",543,"Maryland",24,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1982,"Rate",5.02914903921028,4.52975313119282,5.78621179672576
1,"Deaths",543,"Maryland",24,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1983,"Rate",6.6252865774792,6.07022700648956,7.49491586112442
1,"Deaths",543,"Maryland",24,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1984,"Rate",5.90244948949413,5.37021503055003,6.60176548360779
1,"Deaths",543,"Maryland",24,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1985,"Rate",7.36063492241235,6.81124866870186,8.2500178753825
1,"Deaths",543,"Maryland",24,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1986,"Rate",6.77582927972443,6.27957934898646,7.50656083336897
1,"Deaths",543,"Maryland",24,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1987,"Rate",5.26171615533343,4.85085722887242,5.83837692148448
1,"Deaths",543,"Maryland",24,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1988,"Rate",4.35053478154012,4.02170653416723,4.7871984332898
1,"Deaths",543,"Maryland",24,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1989,"Rate",5.20327241816368,4.81235013321702,5.64281004903645
1,"Deaths",543,"Maryland",24,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1990,"Rate",3.92661149388058,3.6199271886311,4.29624645993714
1,"Deaths",543,"Maryland",24,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1991,"Rate",4.06722342981466,3.76177084116444,4.44567532596715
1,"Deaths",543,"Maryland",24,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1992,"Rate",3.66872360573664,3.38753865353057,4.01850635953053
1,"Deaths",543,"Maryland",24,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1993,"Rate",4.00408454031049,3.70455081800505,4.35859650469624
1,"Deaths",543,"Maryland",24,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1994,"Rate",3.42619277104904,3.16315052672519,3.70450222899246
1,"Deaths",543,"Maryland",24,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1995,"Rate",4.17879535839153,3.8731680978518,4.51730682358358
1,"Deaths",543,"Maryland",24,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1996,"Rate",3.5596369013959,3.26828870871912,3.86150017367903
1,"Deaths",543,"Maryland",24,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1997,"Rate",3.8244577594306,3.54973487939773,4.12382651603477
1,"Deaths",543,"Maryland",24,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1998,"Rate",3.25512795544712,2.99233105449307,3.55171752949479
1,"Deaths",543,"Maryland",24,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1999,"Rate",3.85199519465118,3.53686622828712,4.19852991492455
1,"Deaths",543,"Maryland",24,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",2000,"Rate",3.78018873880122,3.47810589577708,4.08683286458378
1,"Deaths",543,"Maryland",24,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",2001,"Rate",3.53631582362405,3.21988177328188,3.84422032375336
1,"Deaths",543,"Maryland",24,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",2002,"Rate",3.66796004045616,3.34772379863683,3.97128313950686
1,"Deaths",543,"Maryland",24,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",2003,"Rate",3.66779054460941,3.36483964460433,3.97435954895107
