"measure_id","measure_name","location_id","location_name","FIPS","cause_id","cause_name","sex_id","sex","age_id","age_name","year_id","metric","mx","lower","upper"
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1980,"Rate",5.72493768259349,5.1137228991848,6.53424422599335
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1981,"Rate",5.93670856586932,5.28795613923405,6.7784495436418
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1982,"Rate",5.626790912001,5.0767614693892,6.50184904316972
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1983,"Rate",5.92963598651929,5.37764728989145,6.92588929076697
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1984,"Rate",5.75144025018167,5.2626144253305,6.66992075724544
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1985,"Rate",5.77396167166329,5.28376085817593,6.71349053769076
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1986,"Rate",5.5236952362555,5.08418239306726,6.32766268831165
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1987,"Rate",6.33703571101764,5.87172113581745,7.12145122603285
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1988,"Rate",6.15953201302463,5.7164517825699,6.75098882786028
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1989,"Rate",6.5472647700594,6.09863209861173,7.10314072067258
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1990,"Rate",6.98240040681406,6.50275551202058,7.57602131457519
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1991,"Rate",6.39414172102199,5.92672107788329,6.91219551123723
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1992,"Rate",6.35921402587299,5.93531539430103,6.85019640602369
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1993,"Rate",6.89930416628363,6.4328706716523,7.51437787285816
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1994,"Rate",6.9070106873876,6.39340631801765,7.42906046131531
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1995,"Rate",6.63037054219181,6.14353331233354,7.13238321409816
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1996,"Rate",7.35730854253778,6.80034738382587,7.9824088152858
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1997,"Rate",7.55690066737576,6.97143975646674,8.17046363822629
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1998,"Rate",6.55374460481805,6.04798742106486,7.08003338901989
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1999,"Rate",6.78632194914511,6.26258098752624,7.30430909887939
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",2000,"Rate",7.00698650167874,6.49326087529173,7.52441070694575
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",2001,"Rate",6.91480391461664,6.43221652694042,7.42596577352422
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",2002,"Rate",7.13349398344529,6.633947870202,7.6157230899675
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",2003,"Rate",8.06147525266098,7.48333224524661,8.61986486191504
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",2004,"Rate",7.92225845753825,7.38816372141189,8.5031059887734
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",2005,"Rate",7.54135824975818,7.00470355375562,8.04168869482752
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",2006,"Rate",7.48250399917301,6.92949098725224,7.99758596649514
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",2007,"Rate",7.85332509759549,7.26965348408591,8.34515568470191
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",2008,"Rate",8.27072313810867,7.73185015105497,8.84114599483359
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",2009,"Rate",7.93308971768137,7.35727102063738,8.45617395604503
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",2010,"Rate",7.62382937626871,7.04300742188711,8.19257056136501
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",2011,"Rate",8.33230499989473,7.68938333096129,8.90504900672386
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",2012,"Rate",8.63364405932619,7.92701296993545,9.2375988178698
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",2013,"Rate",8.88220971836546,8.20562820014701,9.50828412113918
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",2014,"Rate",8.23106285069785,7.54990677770638,8.87568077440047
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",2,"Female",27,"Age-standardized",1980,"Rate",1.79398018190554,1.61657372569063,1.99071375305012
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",2,"Female",27,"Age-standardized",1981,"Rate",1.90475758636173,1.71338705775959,2.10891816286262
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",2,"Female",27,"Age-standardized",1982,"Rate",1.74420456220291,1.57192189475509,1.93209984073525
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",2,"Female",27,"Age-standardized",1983,"Rate",1.72974168984741,1.56779279682155,1.91111524217504
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",2,"Female",27,"Age-standardized",1984,"Rate",1.80422900886842,1.62982897950718,1.98711747075535
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",2,"Female",27,"Age-standardized",1985,"Rate",1.7260520503369,1.57837784057268,1.88308530874964
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",2,"Female",27,"Age-standardized",1986,"Rate",1.71047215397936,1.55793887628539,1.86792293300822
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",2,"Female",27,"Age-standardized",1987,"Rate",1.77231516707176,1.62527115569453,1.93906251099386
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",2,"Female",27,"Age-standardized",1988,"Rate",1.76522127624134,1.6207716270214,1.9244146957588
1,"Deaths",560,"Oregon",41,560,"Alcohol use disorders",2,"Female",27,"Age-standardized",1989,"Rate",1.75745678745616,1.61170484518839,1.9120306261522
