"measure_id","measure_name","location_id","location_name","FIPS","cause_id","cause_name","sex_id","sex","age_id","age_name","year_id","metric","mx","lower","upper"
1,"Deaths",573,"Wyoming",56,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1980,"Rate",6.09060192202426,5.2087170532887,7.271546456062
1,"Deaths",573,"Wyoming",56,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1981,"Rate",6.3296049588385,5.46146693650096,7.47920088560335
1,"Deaths",573,"Wyoming",56,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1982,"Rate",5.83400769153797,5.09346223717984,6.95490552146337
1,"Deaths",573,"Wyoming",56,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1983,"Rate",6.09842812710468,5.24990843368939,7.15519127128257
1,"Deaths",573,"Wyoming",56,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1984,"Rate",5.73352233831825,5.03941847423867,6.70214393727132
1,"Deaths",573,"Wyoming",56,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1985,"Rate",5.88406348866292,5.17008106274764,6.90491161585169
1,"Deaths",573,"Wyoming",56,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1986,"Rate",6.07790569404448,5.37468181518133,6.96558846928801
1,"Deaths",573,"Wyoming",56,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1987,"Rate",6.07609324320137,5.37996756638291,6.83863632072302
1,"Deaths",573,"Wyoming",56,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1988,"Rate",6.38960139262672,5.6725087302717,7.22586291854149
1,"Deaths",573,"Wyoming",56,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1989,"Rate",6.67803958626568,5.97658686887032,7.52666708477293
1,"Deaths",573,"Wyoming",56,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1990,"Rate",6.77218996562515,6.09221119265868,7.56136951043576
1,"Deaths",573,"Wyoming",56,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1991,"Rate",7.03020609221055,6.30653827133899,7.8711001826962
1,"Deaths",573,"Wyoming",56,560,"Alcohol use disorders",1,"Male",27,"Age-standardized",1992,"Rate",6.72367965377811,6.07703480563043,7.43469605073463
