Rank,County-equivalent,State,Per capita income,Median household income,Median family income,Population,Number of households
1,New York County,New York,62498,69659,84627,1605272,736192
2,Arlington,Virginia,62018,103208,139244,214861,94454
3,Falls Church City,Virginia,59088,120000,152857,12731,5020
4,Marin,California,56791,90839,117357,254643,102912
5,Alexandria City,Virginia,54608,85706,107511,143684,65369
6,Pitkin,Colorado,51814,72745,93981,17173,7507
7,Los Alamos,New Mexico,51044,106686,124979,17979,7590
8,Fairfax County,Virginia,50532,110292,128596,1101071,389908
9,Hunterdon,New Jersey,50349,106143,125828,127047,46816
10,Borden,Texas,50042,71607,76250,649,225
11,Montgomery,Maryland,49038,98221,117408,989474,360563
12,Morris,New Jersey,48814,98633,117683,495261,179665
13,Fairfield,Connecticut,48721,82283,104250,926233,332655
14,San Francisco,California,48486,75604,90116,817501,345344
15,Howard,Maryland,48172,109865,128657,293821,106142
16,Westchester,New York,47984,81946,105341,956283,343561
17,Somerset,New Jersey,47803,99020,117393,326207,115531
18,Nantucket,Massachusetts,47331,85478,92500,10224,4069
19,Loudoun,Virginia,46565,122238,133550,326477,106997
20,North Slope,Alaska,46457,80761,82500,9484,1990
21,San Mateo,California,45732,88202,105844,729543,257941
22,Kalawao,Hawaii,45515,59375,88750,71,46
23,Washington City,District of Columbia,45290,65830,79665,619371,263649
24,Goochland,Virginia,45039,80976,92042,21565,8058
25,Norfolk,Massachusetts,44692,84916,108943,677296,257451
26,Fairfax City,Virginia,44345,97242,113538,23027,8492
27,Douglas,Colorado,43634,101591,112930,293014,103780
28,Teton,Wyoming,43444,68078,83558,21575,7583
29,Bergen,New Jersey,43347,83794,102222,912795,335422
30,Middlesex,Massachusetts,42861,82090,104032,1522533,581120
31,Monmouth,New Jersey,42749,84526,105971,629735,233909
32,Summit,Utah,42462,83336,95879,37232,13627
33,Nassau,New York,42400,97690,112874,1343765,441955
34,Mineral,Colorado,42255,47083,68438,761,393
35,Chester,Pennsylvania,42210,86050,105278,503075,184788
36,Ozaukee,Wisconsin,42041,75457,92262,86708,34108
37,Clear Creek,Colorado,41716,67259,89583,9048,4024
38,Santa Clara,California,41513,91702,103983,1812208,609377
39,Montgomery,Pennsylvania,41472,79183,99587,804621,307488
40,Williamson,Tennessee,41292,89779,104796,188935,66364
41,San Miguel,Colorado,40827,63594,77708,7496,3234
42,Anne Arundel,Maryland,40415,87430,101268,544426,199904
43,Putnam,New York,40309,95117,109188,99718,34496
44,Newport,Rhode Island,40293,71713,88962,82545,34774
45,Delaware County,Ohio,40189,89757,103564,178139,64208
46,Middlesex,Connecticut,39992,76994,98501,165690,66141
47,King,Washington,39911,71811,92510,1974567,802606
48,Fauquier,Virginia,39600,88409,103556,66015,23130
49,Hamilton,Indiana,39521,82468,99768,282977,103234
50,Eagle,Colorado,39497,74456,86167,52151,17966
51,James City County,Virginia,39133,76960,90406,68171,26883
52,Bristol,Rhode Island,38893,71238,93131,49426,19174
53,Johnson,Kansas,38827,74717,92512,552947,216304
54,Clarke,Virginia,38748,77597,95654,14191,5580
55,Williams,North Dakota,38738,76210,86285,25024,10411
56,DuPage,Illinois,38570,78487,95208,922803,336028
57,Poquoson City,Virginia,38444,81892,98848,12117,4591
58,Rockingham,New Hampshire,38399,77348,93420,296718,116262
59,Calvert,Maryland,38260,95477,107684,89332,30923
60,Contra Costa,California,38219,78756,94208,1065794,375855
61,Queen Anne's,Maryland,38108,87256,97909,48166,17292
62,Gilpin,Colorado,38022,63885,87639,5477,2504
63,Talbot,Maryland,38022,61597,74811,37859,16013
64,Lake,Illinois,38018,77469,92116,702099,241072
65,Boulder,Colorado,38011,67956,92667,301072,120521
66,Billings,North Dakota,37972,57083,69167,876,350
67,Sussex,New Jersey,37949,87335,100066,147924,54746
,,Connecticut,37892,69461,87245,3583561,1355849
68,Collin,Texas,37839,82762,97421,811308,289752
69,San Juan,Washington,37719,53376,65067,15786,7753
70,Litchfield,Connecticut,37667,71338,87945,188629,75755
71,Waukesha,Wisconsin,37577,75850,92974,391200,153422
72,Juneau,Alaska,37558,81490,95112,31897,12099
73,Hennepin,Minnesota,37485,64403,84559,1170623,481263
74,Boone,Indiana,37482,67255,80907,58009,21908
75,Bucks,Pennsylvania,37466,76555,92907,625977,230366
76,Mercer,New Jersey,37465,73480,94267,368094,130754
77,Carver,Minnesota,37457,83773,96913,92770,33486
78,Broomfield,Colorado,37442,77998,96787,57171,22016
79,Prince William,Virginia,37401,98071,106544,416668,132442
80,Charles,Maryland,37277,93160,104078,148957,51247
81,Albemarle,Virginia,37239,67725,89889,100636,37964
82,Skagway,Alaska,37139,71667,77500,1080,412
83,Bristol Bay,Alaska,37024,79531,96458,933,384
84,Washington County,Rhode Island,37023,72138,91532,126627,49430
85,Suffolk,New York,36945,87763,100652,1495803,497347
86,Frederick,Maryland,36917,84570,98259,236668,86337
87,St. Johns,Florida,36836,64876,80707,197115,75558
88,Burlington,New Jersey,36835,78446,94324,449964,164979
89,Fulton,Georgia,36757,56857,75658,948554,368184
90,Washington County,Minnesota,36706,81540,94263,241315,88947
91,Stafford,Virginia,36574,97110,106322,131885,42178
92,Rappahannock,Virginia,36505,56438,66773,7448,3261
93,Oakland,Michigan,36458,65594,84182,1213406,486332
94,Collier,Florida,36439,55843,65980,328209,122972
95,York,Virginia,36373,82073,95392,65762,24071
96,Hinsdale,Colorado,36365,56667,76000,809,388
,,Maryland,36354,73538,88738,5834299,2146240
97,Divide,North Dakota,36303,55057,69632,2155,1035
98,Anchorage,Alaska,36214,77454,90466,295237,105208
99,Roberts,Texas,36172,67321,83333,1030,374
100,Union,South Dakota,36167,63468,74758,14575,5758
101,Carroll,Maryland,36153,84790,100643,167261,59909
102,Barnstable,Massachusetts,36142,60526,76311,215449,95398
103,Jefferson,Colorado,36087,68984,84957,540669,219562
104,Elbert,Colorado,36077,82118,89653,23295,8240
,,New Jersey,36027,71629,87347,8832406,3186418
105,St. Mary's,Maryland,36017,85672,95186,107079,37589
106,Sublette,Wyoming,35944,77900,85885,10178,3502
107,Dallas,Iowa,35844,73847,90092,69526,26262
108,Kendall,Texas,35827,73410,86750,34951,12760
,,Massachusetts,35763,66866,84900,6605058,2530147
109,Alameda,California,35763,72112,88618,1535248,545071
110,Blaine,Idaho,35524,64042,76575,21294,9207
111,Scott,Minnesota,35467,86112,97693,132774,45630
112,Harford,Maryland,35425,80622,92642,246664,90708
113,Fayette,Georgia,35344,79977,91574,107105,37930
114,Denali,Alaska,35295,72500,99091,2020,716
115,Plymouth,Massachusetts,35220,75092,90431,497386,179617
116,Saratoga,New York,35176,69826,87058,221169,88460
117,Essex,Massachusetts,35167,67311,84185,750808,286008
118,Platte,Missouri,35143,67721,83110,90842,36781
119,Union,New Jersey,35089,68507,83164,540568,185483
120,Placer,California,34886,72725,87352,355924,132709
121,El Dorado,California,34884,69297,85253,180982,67885
122,Routt,Colorado,34873,62002,74559,23409,9647
123,Lincoln,South Dakota,34839,74751,85666,46693,17250
124,Dakota,Minnesota,34828,73732,88889,402306,154275
125,Napa,California,34795,70443,79700,137837,49431
126,St. Louis County,Missouri,34795,58910,75532,999725,403293
127,Hartford,Connecticut,34698,64967,81805,895827,347874
128,Rockwall,Texas,34617,86119,92837,81020,26820
129,Rockland,New York,34591,84951,99649,315069,98326
130,Forsyth,Georgia,34582,86569,99573,182916,58080
131,Orange,North Carolina,34465,55569,84770,136057,51403
132,Geauga,Ohio,34455,67663,81952,93610,34621
133,Tolland,Connecticut,34392,80529,95996,152366,54327
134,Hillsborough,New Hampshire,34390,69829,84430,402017,154324
135,Baltimore County,Maryland,34374,66486,81116,812261,313912
136,Middlesex,New Jersey,34345,79596,93519,817026,280988
137,Yakutat,Alaska,34317,72500,80875,607,254
138,King George,Virginia,34234,81753,90752,24151,8314
139,Petersburg Census Area,Alaska,34183,63934,84861,3806,1643
140,Douglas,Nevada,34123,60100,67597,47035,19455
141,Fort Bend,Texas,34084,85297,94931,608939,191406
142,Olmsted,Minnesota,34073,66252,83250,146063,57262
143,Loving,Texas,34068,68750,88438,87,33
144,Orange,California,34057,75422,84765,3051771,995512
145,Martin,Florida,34057,49846,68003,147786,59891
146,Summit,Colorado,34025,63697,79420,28091,11138
147,Monroe,Florida,33974,53607,63550,74213,28503
148,Denton,Texas,33855,74155,90086,687857,243394
149,Campbell,Wyoming,33850,79488,84746,46901,17108
150,Kent,Rhode Island,33814,62279,80038,165628,68880
151,Mountrail,North Dakota,33803,68722,76282,8280,3069
152,Oconee,Georgia,33801,75004,82625,33240,11485
153,Dunn,North Dakota,33788,60500,76346,3786,1438
154,New London,Connecticut,33782,66583,82076,274090,107066
155,Dane,Wisconsin,33712,61721,83509,496762,206982
156,Midland,Texas,33672,62993,72635,142289,50644
157,Llano,Texas,33634,44094,60285,19223,8519
158,Columbia,New York,33613,57336,72649,62674,25280
159,Dutchess,New York,33594,72525,88777,297385,107830
160,Oldham,Kentucky,33591,83391,91587,60940,19532
161,Warren,New Jersey,33555,70912,85091,108150,41463
162,Hanover,Virginia,33540,75070,88604,100328,36927
,,Virginia,33493,63907,76754,8100653,3022739
163,Storey,Nevada,33472,61573,64173,3981,1843
164,Dukes,Massachusetts,33363,66288,82452,16739,5891
165,Towner,North Dakota,33357,55521,67969,2285,1034
166,Shelby,Alabama,33313,68770,82558,198366,74144
167,Chittenden,Vermont,33281,63989,83887,157637,62587
168,Denver,Colorado,33251,50313,63705,619297,266069
169,Washtenaw,Michigan,33231,59055,85115,348560,135800
170,Travis,Texas,33206,58025,73951,1063248,411876
171,Delaware County,Pennsylvania,33179,64041,81523,559771,204771
172,Warren,Ohio,33172,72487,85636,215274,76546
173,Madison,Mississippi,33170,59904,73775,97151,36342
174,Wake,North Carolina,33166,66006,83568,929214,348627
175,Grand Isle,Vermont,33159,59509,69722,6984,3023
,,New Hampshire,33134,64916,79886,1319171,518245
176,Henrico,Virginia,33115,61048,75640,311314,123683
177,McKenzie,North Dakota,33078,64866,77366,7377,2666
178,Cobb,Georgia,33069,63920,78058,699235,261242
179,Foster,North Dakota,33063,50677,68547,3355,1555
180,Madison,Montana,33062,47762,61672,7702,3542
181,Ouray,Colorado,33015,64601,72229,4475,1943
182,Comal,Texas,32980,65839,77324,112083,41954
183,Cape May,New Jersey,32948,56494,74112,96684,42312
184,Ventura,California,32930,76544,86301,829017,267076
185,Montgomery,Texas,32911,67766,79541,472162,163462
186,Burke,North Dakota,32908,53693,70096,2094,1007
187,Worcester,Maryland,32887,57952,68840,51479,20530
188,Cumberland,Maine,32880,57461,75432,283046,117359
189,Burleigh,North Dakota,32876,61811,82235,83906,34703
190,Cook,Minnesota,32868,52215,59643,5195,2614
191,Palm Beach,Florida,32858,52432,64260,1339221,526007
192,Sonoma,California,32835,63356,75896,487469,185660
193,Suffolk,Massachusetts,32835,53540,61449,735701,288240
194,Clackamas,Oregon,32781,64352,76549,380532,146527
,,Alaska,32651,70760,82870,720316,251899
195,Greeley,Kansas,32650,52847,58875,1202,493
196,Hudson,New Jersey,32641,58442,62168,644605,243875
197,Gloucester,New Jersey,32600,74524,87913,289098,104145
198,Arapahoe,Colorado,32595,60651,73649,585333,225552
199,Valdez-Cordova Census Area,Alaska,32579,74878,88480,9682,3424
200,Chesterfield,Virginia,32572,72088,83877,320430,113637
201,New Haven,Connecticut,32523,61996,79408,862611,328013
202,Sitka,Alaska,32521,69405,78000,8945,3554
203,Beaufort,South Carolina,32503,57316,66878,165354,64417
204,Botetourt,Virginia,32490,65935,74798,33076,12825
205,Mecklenburg,North Carolina,32482,55444,68083,947135,366689
206,New Castle,Delaware,32406,64537,79954,542784,200739
,,New York,32382,58003,70670,19487053,7234743
207,Nevada County,California,32346,57353,70148,98509,40991
208,Prince George's,Maryland,32344,73623,84808,873481,303441
209,McHenry,Illinois,32341,76145,87760,308060,108852
210,Albany,New York,32328,59394,81846,305279,122700
211,Sarasota,Florida,32313,49052,61339,383094,170555
212,Santa Fe,New Mexico,32298,52917,64737,145400,61012
213,Santa Cruz,California,32295,66519,80899,264808,93504
214,Oliver,North Dakota,32253,71250,81500,1840,753
215,St. Croix,Wisconsin,32220,68426,80740,84912,32114
216,Essex,New Jersey,32181,55095,69448,785853,277302
217,Fairbanks North Star,Alaska,32143,69223,82930,98656,35588
218,Livingston,Michigan,32129,72359,82959,182402,67691
219,New Kent,Virginia,32068,70618,78995,18791,6886
220,Bowman,North Dakota,32045,56964,76750,3168,1354
221,Richland,Montana,32036,58112,72115,10318,4270
222,Cavalier,North Dakota,32028,55904,72946,3952,1754
223,Washington County,Wisconsin,32020,66159,79911,132186,52053
224,LaMoure,North Dakota,31989,53691,65958,4136,1955
225,Bottineau,North Dakota,31969,51667,71217,6529,3028
226,Virginia Beach City,Virginia,31934,65219,76285,442151,164944
227,Madison,Alabama,31933,58434,75766,339279,132975
228,Richmond,New York,31823,72569,86133,470223,164609
229,Cumberland,Pennsylvania,31791,60826,77057,237449,95286
230,Aleutians West Census Area,Alaska,31790,81853,87159,5538,1033
231,Dickinson,Iowa,31790,56136,64798,16818,7981
232,Kitsap,Washington,31769,62413,74993,252687,97622
233,Mercer,North Dakota,31767,66534,80827,8456,3650
234,Monroe,Illinois,31758,68482,81766,33181,12506
235,Roanoke County,Virginia,31728,60795,75860,92824,37928
236,Barnes,North Dakota,31721,50274,67150,11085,4871
237,Lane,Kansas,31694,53021,64886,1616,808
238,Grand,Colorado,31684,64664,74418,14535,5227
239,Allegheny,Pennsylvania,31593,51366,70380,1226933,526004
240,Ketchikan Gateway,Alaska,31589,62519,85638,13595,5295
241,St. Charles,Missouri,31586,71077,83907,365101,135974
242,Terrell,Texas,31578,39479,68750,837,403
243,Carroll,New Hampshire,31558,50866,58867,47694,20922
244,Worcester,Massachusetts,31537,65223,81519,802688,299663
245,Sioux,Nebraska,31517,42014,56813,1229,553
246,Park,Colorado,31504,61570,76104,16131,7038
247,Kent,Maryland,31502,56259,72360,20130,7498
248,Adams,North Dakota,31502,47798,65859,2328,1101
249,Harris,Georgia,31482,69223,82259,32267,11426
250,Leelanau,Michigan,31462,55018,66570,21682,9103
251,Steele,North Dakota,31455,55735,67159,1976,890
252,Daniels,Montana,31449,46100,60000,1778,890
253,Stark,North Dakota,31412,62559,75333,25666,10439
254,Sheridan,Montana,31378,48667,68769,3473,1612
255,Spotsylvania,Virginia,31360,78345,87374,124319,41709
256,Snohomish,Washington,31349,68381,80856,724627,268722
257,Mathews,Virginia,31342,55192,71441,8943,3856
258,Merrimack,New Hampshire,31310,65353,80655,146710,56812
259,Miner,South Dakota,31288,48477,60083,2355,1053
260,Kendall,Illinois,31276,81765,91368,116366,38075
